loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_roc_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7498,7.8396124839782715,4.000000000000001e-06,0.08849557522123894,10,,,,,,,,,,,,,,
,,,0.08849557522123894,10,0.7109683752059937,0.39,0.38995598239295715,0.39,0.3899389938993899,0.33599999999999997,43.3201,2.308,0.3,,,,,
0.6916,7.268478870391846,8.000000000000001e-06,0.17699115044247787,20,,,,,,,,,,,,,,
,,,0.17699115044247787,20,0.6507328152656555,0.64,0.6918859649122805,0.64,0.6138996138996139,0.6508,43.404,2.304,0.3,,,,,
0.6135,5.512149810791016,1.2e-05,0.26548672566371684,30,,,,,,,,,,,,,,
,,,0.26548672566371684,30,0.5927820801734924,0.76,0.7637987012987013,0.76,0.7591328783621036,0.8392000000000001,50.6224,1.975,0.257,,,,,
0.559,10.426356315612793,1.6000000000000003e-05,0.35398230088495575,40,,,,,,,,,,,,,,
,,,0.35398230088495575,40,0.5017977356910706,0.81,0.8161974704202366,0.81,0.8090644156366192,0.9124,47.8814,2.088,0.272,,,,,
0.4706,6.091522216796875,2e-05,0.4424778761061947,50,,,,,,,,,,,,,,
,,,0.4424778761061947,50,0.4318218529224396,0.83,0.853925353925354,0.83,0.8270776116366596,0.8559999999999999,43.6884,2.289,0.298,,,,,
0.3385,5.8420281410217285,1.9611650485436893e-05,0.5309734513274337,60,,,,,,,,,,,,,,
,,,0.5309734513274337,60,0.29865631461143494,0.89,0.8977968176254589,0.89,0.889458345894885,0.9704,46.7128,2.141,0.278,,,,,
0.309,10.772496223449707,1.922330097087379e-05,0.6194690265486725,70,,,,,,,,,,,,,,
,,,0.6194690265486725,70,0.24923795461654663,0.91,0.9114813327980731,0.91,0.909918927034331,0.9692000000000001,44.613,2.241,0.291,,,,,
0.1819,1.0305869579315186,1.883495145631068e-05,0.7079646017699115,80,,,,,,,,,,,,,,
,,,0.7079646017699115,80,0.19878129661083221,0.92,0.9227053140096618,0.92,0.9198717948717947,0.9884,44.6875,2.238,0.291,,,,,
0.228,15.441661834716797,1.8446601941747575e-05,0.7964601769911505,90,,,,,,,,,,,,,,
,,,0.7964601769911505,90,0.2777506113052368,0.89,0.8914090726615816,0.89,0.8899009108197379,0.9683999999999999,44.573,2.244,0.292,,,,,
0.2188,0.5783983469009399,1.8058252427184467e-05,0.8849557522123894,100,,,,,,,,,,,,,,
,,,0.8849557522123894,100,0.20875345170497894,0.92,0.9227053140096618,0.92,0.9198717948717947,0.972,43.1478,2.318,0.301,,,,,
0.255,8.914329528808594,1.7669902912621362e-05,0.9734513274336283,110,,,,,,,,,,,,,,
,,,0.9734513274336283,110,0.2143661081790924,0.92,0.9227053140096618,0.92,0.9198717948717947,0.984,42.7988,2.337,0.304,,,,,
0.0667,0.7457517981529236,1.7281553398058253e-05,1.0619469026548674,120,,,,,,,,,,,,,,
,,,1.0619469026548674,120,0.3082813024520874,0.9,0.9105090311986863,0.9,0.8993558776167473,0.9816,42.9608,2.328,0.303,,,,,
0.1425,0.19081920385360718,1.6893203883495145e-05,1.1504424778761062,130,,,,,,,,,,,,,,
,,,1.1504424778761062,130,0.3041927218437195,0.92,0.9261363636363638,0.92,0.9197109594540345,0.974,44.2705,2.259,0.294,,,,,
0.0741,0.17311441898345947,1.650485436893204e-05,1.238938053097345,140,,,,,,,,,,,,,,
,,,1.238938053097345,140,0.28498971462249756,0.9,0.9025764895330113,0.9,0.8998397435897436,0.9884,44.7794,2.233,0.29,,,,,
0.0542,17.632558822631836,1.6116504854368932e-05,1.3274336283185841,150,,,,,,,,,,,,,,
,,,1.3274336283185841,150,0.2739814519882202,0.92,0.920673076923077,0.92,0.919967987194878,0.9828,47.3151,2.113,0.275,,,,,
0.0419,1.4559026956558228,1.5728155339805827e-05,1.415929203539823,160,,,,,,,,,,,,,,
,,,1.415929203539823,160,0.26273635029792786,0.95,0.9516258530710558,0.95,0.949954959463517,0.9892,47.1414,2.121,0.276,,,,,
0.134,7.547252178192139,1.533980582524272e-05,1.504424778761062,170,,,,,,,,,,,,,,
,,,1.504424778761062,170,0.21739855408668518,0.95,0.9516258530710558,0.95,0.949954959463517,0.992,47.0216,2.127,0.276,,,,,
0.1335,45.05973434448242,1.4951456310679614e-05,1.592920353982301,180,,,,,,,,,,,,,,
,,,1.592920353982301,180,0.4715794622898102,0.89,0.8977968176254589,0.89,0.889458345894885,0.9848000000000001,47.0988,2.123,0.276,,,,,
0.122,8.140474319458008,1.4563106796116507e-05,1.6814159292035398,190,,,,,,,,,,,,,,
,,,1.6814159292035398,190,0.21695932745933533,0.96,0.9607371794871794,0.96,0.959983993597439,0.9896,46.9596,2.129,0.277,,,,,
0.139,0.05380070582032204,1.41747572815534e-05,1.7699115044247788,200,,,,,,,,,,,,,,
,,,1.7699115044247788,200,0.2812599241733551,0.95,0.9545454545454546,0.95,0.9498746867167918,0.986,47.0542,2.125,0.276,,,,,
0.185,0.11782671511173248,1.3786407766990294e-05,1.8584070796460177,210,,,,,,,,,,,,,,
,,,1.8584070796460177,210,0.2123173475265503,0.95,0.9545454545454546,0.95,0.9498746867167918,0.9924,46.6541,2.143,0.279,,,,,
0.0073,0.19190563261508942,1.3398058252427187e-05,1.9469026548672566,220,,,,,,,,,,,,,,
,,,1.9469026548672566,220,0.12364344298839569,0.97,0.9716981132075472,0.97,0.9699729756781104,0.994,47.0197,2.127,0.276,,,,,
0.0032,0.06913694739341736,1.300970873786408e-05,2.0353982300884956,230,,,,,,,,,,,,,,
,,,2.0353982300884956,230,0.2561686635017395,0.95,0.9545454545454546,0.95,0.9498746867167918,0.9912,46.8149,2.136,0.278,,,,,
0.0177,40.72114944458008,1.2621359223300974e-05,2.1238938053097347,240,,,,,,,,,,,,,,
,,,2.1238938053097347,240,0.1854141801595688,0.97,0.9716981132075472,0.97,0.9699729756781104,0.9904,47.1551,2.121,0.276,,,,,
0.0655,12.083245277404785,1.2233009708737864e-05,2.2123893805309733,250,,,,,,,,,,,,,,
,,,2.2123893805309733,250,0.1755789816379547,0.97,0.9716981132075472,0.97,0.9699729756781104,0.9912000000000001,47.7731,2.093,0.272,,,,,
0.0281,0.04727958142757416,1.1844660194174757e-05,2.3008849557522124,260,,,,,,,,,,,,,,
,,,2.3008849557522124,260,0.1936083436012268,0.96,0.962962962962963,0.96,0.9599358974358975,0.9887999999999999,47.0255,2.127,0.276,,,,,
0.0784,0.12742497026920319,1.145631067961165e-05,2.3893805309734515,270,,,,,,,,,,,,,,
,,,2.3893805309734515,270,0.17317081987857819,0.95,0.9516258530710558,0.95,0.949954959463517,0.9947999999999999,47.1953,2.119,0.275,,,,,
0.0622,0.03539502993226051,1.1067961165048544e-05,2.47787610619469,280,,,,,,,,,,,,,,
,,,2.47787610619469,280,0.1529063731431961,0.96,0.9607371794871794,0.96,0.959983993597439,0.9952,47.0875,2.124,0.276,,,,,
0.0407,99.41507720947266,1.0679611650485437e-05,2.566371681415929,290,,,,,,,,,,,,,,
,,,2.566371681415929,290,0.16083794832229614,0.96,0.96,0.96,0.96,0.9956,46.7859,2.137,0.278,,,,,
0.0584,0.07036906480789185,1.029126213592233e-05,2.6548672566371683,300,,,,,,,,,,,,,,
,,,2.6548672566371683,300,0.24858352541923523,0.96,0.962962962962963,0.96,0.9599358974358975,0.99,46.6938,2.142,0.278,,,,,
0.0674,0.03817746415734291,9.902912621359224e-06,2.7433628318584073,310,,,,,,,,,,,,,,
,,,2.7433628318584073,310,0.08185677230358124,0.97,0.970188075230092,0.97,0.96999699969997,0.9968,46.8422,2.135,0.278,,,,,
0.0053,0.049924079328775406,9.514563106796117e-06,2.831858407079646,320,,,,,,,,,,,,,,
,,,2.831858407079646,320,0.09896575659513474,0.97,0.970188075230092,0.97,0.96999699969997,0.9968,47.1288,2.122,0.276,,,,,
0.0192,0.1236676573753357,9.12621359223301e-06,2.920353982300885,330,,,,,,,,,,,,,,
,,,2.920353982300885,330,0.13898827135562897,0.97,0.9716981132075472,0.97,0.9699729756781104,0.9952,46.5004,2.151,0.28,,,,,
0.0766,0.0375874787569046,8.737864077669904e-06,3.0088495575221237,340,,,,,,,,,,,,,,
,,,3.0088495575221237,340,0.1869203895330429,0.97,0.9716981132075472,0.97,0.9699729756781104,0.9936,46.5962,2.146,0.279,,,,,
0.0012,0.04653271287679672,8.349514563106797e-06,3.0973451327433628,350,,,,,,,,,,,,,,
,,,3.0973451327433628,350,0.19512301683425903,0.97,0.9716981132075472,0.97,0.9699729756781104,0.992,47.4,2.11,0.274,,,,,
0.0011,0.028761228546500206,7.96116504854369e-06,3.185840707964602,360,,,,,,,,,,,,,,
,,,3.185840707964602,360,0.19956213235855103,0.97,0.9716981132075472,0.97,0.9699729756781104,0.992,45.1266,2.216,0.288,,,,,
0.0012,0.1399393379688263,7.572815533980583e-06,3.274336283185841,370,,,,,,,,,,,,,,
,,,3.274336283185841,370,0.2681834101676941,0.96,0.962962962962963,0.96,0.9599358974358975,0.9892,43.0898,2.321,0.302,,,,,
0.001,0.03834899142384529,7.184466019417476e-06,3.3628318584070795,380,,,,,,,,,,,,,,
,,,3.3628318584070795,380,0.2789505422115326,0.96,0.962962962962963,0.96,0.9599358974358975,0.9892000000000001,45.7169,2.187,0.284,,,,,
0.0015,0.019018666818737984,6.79611650485437e-06,3.4513274336283186,390,,,,,,,,,,,,,,
,,,3.4513274336283186,390,0.22643102705478668,0.96,0.962962962962963,0.96,0.9599358974358975,0.9904,45.1557,2.215,0.288,,,,,
0.0008,0.019430076703429222,6.407766990291263e-06,3.5398230088495577,400,,,,,,,,,,,,,,
,,,3.5398230088495577,400,0.19091884791851044,0.97,0.9716981132075472,0.97,0.9699729756781104,0.992,48.5774,2.059,0.268,,,,,
0.0007,0.05870559439063072,6.0194174757281556e-06,3.6283185840707963,410,,,,,,,,,,,,,,
,,,3.6283185840707963,410,0.18102753162384033,0.97,0.9716981132075472,0.97,0.9699729756781104,0.9924,44.2638,2.259,0.294,,,,,
0.0039,25.429752349853516,5.631067961165049e-06,3.7168141592920354,420,,,,,,,,,,,,,,
,,,3.7168141592920354,420,0.17131198942661285,0.97,0.9716981132075472,0.97,0.9699729756781104,0.9932,43.1118,2.32,0.302,,,,,
0.0008,0.02828115038573742,5.242718446601942e-06,3.8053097345132745,430,,,,,,,,,,,,,,
,,,3.8053097345132745,430,0.17823439836502075,0.95,0.9501800720288114,0.95,0.94999499949995,0.9936,43.1968,2.315,0.301,,,,,
0.0006,0.02543206512928009,4.854368932038836e-06,3.893805309734513,440,,,,,,,,,,,,,,
,,,3.893805309734513,440,0.18811240792274475,0.95,0.9501800720288114,0.95,0.94999499949995,0.994,46.8661,2.134,0.277,,,,,
0.0088,0.025634275749325752,4.466019417475729e-06,3.982300884955752,450,,,,,,,,,,,,,,
,,,3.982300884955752,450,0.2226460576057434,0.95,0.9501800720288114,0.95,0.94999499949995,0.9936,45.7776,2.184,0.284,,,,,
0.0676,0.12653036415576935,4.0776699029126215e-06,4.070796460176991,460,,,,,,,,,,,,,,
,,,4.070796460176991,460,0.24196550250053406,0.96,0.9607371794871794,0.96,0.959983993597439,0.9936,44.6342,2.24,0.291,,,,,
