loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_roc_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6929,9.903780937194824,4.000000000000001e-06,0.08849557522123894,10,,,,,,,,,,,,,,
,,,0.08849557522123894,10,0.6376426219940186,0.55,0.6920122887864824,0.55,0.4479205005520795,0.7911999999999999,207.5242,0.482,0.063,,,,,
0.599,6.634819507598877,8.000000000000001e-06,0.17699115044247787,20,,,,,,,,,,,,,,
,,,0.17699115044247787,20,0.49581730365753174,0.82,0.8472222222222223,0.82,0.8164014687882496,0.928,194.9817,0.513,0.067,,,,,
0.4695,5.120908260345459,1.2e-05,0.26548672566371684,30,,,,,,,,,,,,,,
,,,0.26548672566371684,30,0.30409714579582214,0.93,0.930172068827531,0.93,0.92999299929993,0.9783999999999999,197.4594,0.506,0.066,,,,,
0.3449,8.338358879089355,1.6000000000000003e-05,0.35398230088495575,40,,,,,,,,,,,,,,
,,,0.35398230088495575,40,0.12984956800937653,0.97,0.970188075230092,0.97,0.96999699969997,0.9932000000000001,216.536,0.462,0.06,,,,,
0.1815,37.09407043457031,2e-05,0.4424778761061947,50,,,,,,,,,,,,,,
,,,0.4424778761061947,50,0.09164075553417206,0.97,0.970188075230092,0.97,0.96999699969997,0.9948,196.3895,0.509,0.066,,,,,
0.0591,0.08524806797504425,1.9611650485436893e-05,0.5309734513274337,60,,,,,,,,,,,,,,
,,,0.5309734513274337,60,0.14226102828979492,0.97,0.970188075230092,0.97,0.96999699969997,0.9912000000000001,187.76,0.533,0.069,,,,,
0.2142,10.659611701965332,1.922330097087379e-05,0.6194690265486725,70,,,,,,,,,,,,,,
,,,0.6194690265486725,70,0.12023533880710602,0.98,0.9807692307692308,0.98,0.9799919967987194,0.9956,208.0316,0.481,0.062,,,,,
0.0172,0.123858742415905,1.883495145631068e-05,0.7079646017699115,80,,,,,,,,,,,,,,
